Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,DES camp identification,CSIRO camp identification
Brisbane,"East Brisbane, Norman Creek (Heath Park/Giffin Par",-27.484127,153.051947,23-Feb-20,FALSE,635,1,0,0,636,43,159
Brisbane,"Coopers Plains, Beryl Roberts Park, Barham St",-27.567531,153.043448,22-Feb-20,FALSE,340,340,0,0,680,247,745
Brisbane,"Windsor, Enoggera Creek",-27.437646,153.037633,22-Feb-20,TRUE,0,0,0,0,0,199,644
Brisbane,"Herston, Enoggera Creek",-27.442402,153.022578,22-Feb-20,FALSE,346,3110,0,0,3456,46,339
Moreton Bay,"Scarborough, Central Avenue",-27.20079,153.10821,21-Feb-20,FALSE,150,0,0,0,150,409,
Mackay,Finch Hatton Gorge,-21.0808,148.6347,21-Feb-20,FALSE,30000,2000,0,0,32000,290,343
Gold Coast,"Coolamon, Currumbin Valley (Nicolls Scrub)",-28.1865,153.4223,21-Feb-20,FALSE,25,0,0,0,25,31,149
Moreton Bay,Woodford,-26.95031,152.7763,21-Feb-20,FALSE,3648,8510,0,0,12158,173,192
Moreton Bay,"Deception Bay, Bailey Road",-27.18917,153.02528,21-Feb-20,FALSE,831,0,0,0,831,413,
Toowoomba,"Toowoomba, Spring Street",-27.601012,151.942978,21-Feb-20,FALSE,1360,30,0,0,1390,159,462
Moreton Bay,"Morayfield, Kirkcandy St",-27.10907,152.95599,21-Feb-20,FALSE,28,0,0,0,28,412,
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,21-Feb-20,FALSE,950,0,200,0,1150,76,372
Somerset,Atkinsons Dam,-27.42135,152.456091,21-Feb-20,TRUE,0,0,0,0,0,373,
Moreton Bay,"Morayfield, Adelong Court Park",-27.13543,152.91805,21-Feb-20,FALSE,247,28,0,0,275,411,
Moreton Bay,"Dayboro, Railway Street",-27.197112,152.825392,21-Feb-20,FALSE,1330,4450,0,0,5780,39,328
Moreton Bay,"Samford, Days Road",-27.3761,152.8405,21-Feb-20,FALSE,20,2435,0,0,2455,133,152
Western Downs,"Dalby, Myall Creek",-27.18833,151.2626,21-Feb-20,FALSE,350,0,10,0,360,37,327
Sunshine Coast,Andrea Ahern Bushland Park,-26.783841,153.127408,21-Feb-20,FALSE,600,410,0,0,1010,375,1009
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,21-Feb-20,FALSE,810,350,0,0,1160,86,390
Moreton Bay,"Beachmere, Beachmere Road",-27.12723,153.04713,21-Feb-20,FALSE,100,0,0,0,100,408,
Ipswich,Yamanto,-27.651449,152.755601,21-Feb-20,FALSE,300,0,0,0,300,177,479
Sunshine Coast,"Coolum, Cassia Wildlife Corridor & Elizabeth St Drain",-26.5327996,153.085496,21-Feb-20,FALSE,530,645,0,0,1175,198,322
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,21-Feb-20,TRUE,0,0,0,0,0,156,460
Ipswich,Woodend,-27.6031,152.7485,21-Feb-20,TRUE,0,0,0,0,0,172,191
Sunshine Coast,"Maleny, Mary Cairncross Scenic Reserve",-26.777548,152.881103,21-Feb-20,TRUE,0,0,0,0,0,356,
Sunshine Coast,"Maleny, Tesch Park",-26.760769,152.8524,21-Feb-20,FALSE,4,20220,0,0,20224,391,
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,21-Feb-20,TRUE,0,0,0,0,0,78,374
Brisbane,Northgate reserve,-27.398694,153.072987,21-Feb-20,FALSE,1000,100,3000,0,4100,188,575
Gold Coast,"Palm Beach, M1",-28.120363,153.460078,21-Feb-20,TRUE,0,0,0,0,0,111,415
