Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,20-May-16,FALSE,800,200,0,0,1000,1,270
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,20-May-16,FALSE,350,0,0,0,350,2,271
Bundaberg,"Avoca, McCoys Creek",-24.88741,152.22936,19-May-16,TRUE,0,0,0,0,0,238,712
Bundaberg,"Bargara, Fairway Drive",-24.823661,152.462227,18-May-16,TRUE,0,0,0,0,0,246,746
Bundaberg,"Bargara, Larder Street",-24.83164,152.46889,18-May-16,TRUE,0,0,0,0,0,7,279
Logan,"Beenleigh, Logan St",-27.708984,153.196341,12-May-16,FALSE,0,0,0,0,0,204,281
Gold Coast,"Broadbeach, Jupiters Casino",-28.030678,153.428033,20-May-16,FALSE,15,0,0,0,15,269,779
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,19-May-16,FALSE,15000,0,0,0,15000,265,772
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,20-May-16,TRUE,0,0,0,0,0,196,574
Gold Coast,"Burleigh Knoll, Burleigh Street, Burleigh Waters",-28.081933,153.439014,20-May-16,FALSE,300,200,0,0,500,234,713
Moreton Bay,Burpengary,-27.152663,152.971398,20-May-16,TRUE,0,0,0,0,0,16,297
Moreton Bay,Burpengary Equestrian,-27.16051,152.955304,20-May-16,TRUE,0,0,0,0,0,189,298
Moreton Bay,Burpengary Equestrian,-27.16051,152.955304,20-May-16,TRUE,0,0,0,0,0,189,298
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,19-May-16,TRUE,0,0,0,0,0,18,299
Moreton Bay,"Caboolture, Wararba Creek",-27.081615,152.926761,20-May-16,FALSE,90,810,0,0,900,164,186
Brisbane,"Calamvale, Golden Avenue",-27.62738,153.056525,20-May-16,TRUE,0,0,0,0,0,241,744
Gold Coast,Canungra Creek Park,-28.016577,153.160156,20-May-16,FALSE,650,650,0,0,1300,350,
Scenic Rim,"Canungra, Beachmont Rd",-28.0398,153.1824,20-May-16,FALSE,800,1700,0,0,2500,21,141
Gold Coast,"Carrara, Edelsten Court",-28.017876,153.36239,20-May-16,FALSE,1380,3220,0,0,4600,185,306
Gold Coast,"Carrara, Gooding Drive",-28.03315,153.391551,20-May-16,FALSE,80,0,0,0,80,190,307
Logan,"Cedar Grove, Brushwood Cres.",-27.8558,152.98,20-May-16,TRUE,0,0,0,0,0,23,148
Logan,"Cedar Vale, Banksia Court",-27.874637,153.012546,20-May-16,TRUE,0,0,0,0,0,201,310
Redland,"Cleveland, Black Swamp",-27.5275,153.25804,20-May-16,FALSE,120,180,0,0,300,28,143
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,18-May-16,FALSE,8000,0,200000,0,208000,29,315
Sunshine Coast,"Conondale, Herron Rd",-26.727645,152.719883,20-May-16,TRUE,0,0,0,0,0,194,317
Redland,Coochiemudlo Island,-27.572437,153.331214,25-May-16,FALSE,270,30,0,0,300,30,319
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,18-May-16,FALSE,0,6,0,0,6,34,324
Fraser Coast,Craignish Heights,-25.2875,152.7471,19-May-16,TRUE,0,0,0,0,0,347,
Gold Coast,Currumbin Creek,-28.14534,153.46721,20-May-16,FALSE,2000,3000,0,0,5000,36,325
Brisbane,Deagon,-27.33338056,153.0535639,20-May-16,FALSE,300,0,0,0,300,335,
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,19-May-16,TRUE,0,0,0,0,0,249,760
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,19-May-16,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,19-May-16,TRUE,0,0,0,0,0,41,330
Somerset,Esk,-27.2349,152.4233,23-May-16,FALSE,80,30,0,0,110,47,156
Mackay,Eungella State School,-21.1358,148.492,20-May-16,FALSE,0,0,0,0,0,307,340
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,20-May-16,FALSE,3225,3225,0,0,6450,182,347
North Burnett,Gayndah Township,-25.6239,151.6109,18-May-16,TRUE,0,0,0,0,0,51,348
North Burnett,"Gayndah, Brambah Ck",-25.5859,151.6622,18-May-16,TRUE,0,0,0,0,0,50,549
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,17-May-16,FALSE,1400,2100,0,0,3500,53,349
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,19-May-16,TRUE,0,0,0,0,0,55,350
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,19-May-16,FALSE,5000,5000,0,0,10000,59,161
Whitsunday,Hamilton Island,-20.3449,148.95179,24-May-16,FALSE,870,0,0,0,870,266,353
Whitsunday,Hamilton Island,-20.3449,148.95179,24-May-16,FALSE,800,0,0,0,800,266,353
Brisbane,"Herston, Enoggera Creek",-27.442402,153.022578,20-May-16,FALSE,740,2960,0,0,3700,46,339
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,19-May-16,FALSE,7000,0,0,0,7000,63,580
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,19-May-16,FALSE,3000,250,50000,0,53250,65,538
Bundaberg,"Horton, Station Road",-25.226732,152.307816,19-May-16,TRUE,0,0,0,0,0,67,359
Gold Coast,"Jacobs Well, Kumgum Street",-27.78528,153.365434,20-May-16,FALSE,140,0,0,0,140,232,715
Rockhampton,Kabra,-23.471698,150.396872,20-May-16,FALSE,9500,0,0,0,9500,256,362
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,19-May-16,TRUE,0,0,0,0,0,70,164
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,20-May-16,FALSE,810,90,0,0,900,200,368
Southern Downs,"Killarney, Killarney State School",-28.338787,152.301742,20-May-16,TRUE,0,0,0,0,0,239,777
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,20-May-16,TRUE,0,0,0,0,0,78,374
Whitsunday,Lindeman Island,-20.45293,149.03743,20-May-16,FALSE,500,0,0,0,500,308,376
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,20-May-16,FALSE,0,0,0,0,0,184,377
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,20-May-16,FALSE,1700,800,0,0,2500,184,377
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,18-May-16,TRUE,0,0,0,0,0,209,539
Brisbane,"MacGregor, Freesia Street",-27.570659,153.084987,21-May-16,TRUE,0,0,0,0,0,84,384
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,24-May-16,TRUE,0,0,0,0,0,86,390
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,19-May-16,TRUE,0,0,0,0,0,87,533
