Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,17-May-17,FALSE,1200,1800,0,0,3000,53,349
Mackay,Fursden Creek,-21.1344,149.152,18-May-17,TRUE,0,0,0,0,0,291,346
Isaac,Moranbah,-22.008,148.0608,19-May-17,FALSE,0,0,100,0,100,257,396
Mackay,Vines Creek,-21.1137,149.1816,18-May-17,FALSE,1000,0,0,0,1000,293,293
Mackay,Walkerston,-21.1606,149.0621,18-May-17,TRUE,0,0,0,0,0,294,276
Whitsunday,Hideaway Bay,-20.082556,148.486855,15-May-17,TRUE,0,0,0,0,0,354,
Whitsunday,Black Current Island,-20.07966,148.49279,15-May-17,TRUE,0,0,0,0,0,315,284
Whitsunday,Hamilton Island,-20.3449,148.95179,23-May-17,TRUE,0,0,0,0,0,266,353
Mackay,"Calen, Blackrock Creek",-20.82424,148.78757,17-May-17,TRUE,0,0,0,0,0,316,285
Mackay,Constant Creek,-21.0083,149.0097,17-May-17,TRUE,0,0,0,0,0,318,318
Mackay,Eungella State School,-21.1358,148.492,18-May-17,FALSE,2000,0,0,0,2000,307,340
Brisbane,"Parkinson, Avondale Crescent",-27.63034,153.033682,19-May-17,FALSE,2000,300,0,0,2300,112,419
Brisbane,"Calamvale, Golden Avenue",-27.62738,153.056525,19-May-17,TRUE,0,0,0,0,0,241,744
Brisbane,"Calamvale, Earnshaw St.",-27.621157,153.036482,19-May-17,TRUE,0,0,0,0,0,19,300
Charters Towers,Charters Towers,-20.072564,146.2609,25-May-17,FALSE,0,0,800,0,800,366,
Burdekin,"Burdekin-Bowen, River Junction",-20.396716,147.35093,31-May-17,TRUE,0,0,0,0,0,367,
Whitsunday,Collinsville - Glencore Mine,-20.521967,147.744212,31-May-17,TRUE,0,0,0,0,0,342,
Isaac,Glenden,-21.356515,148.110274,19-May-17,TRUE,0,0,0,0,0,368,
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,21-May-17,TRUE,0,0,0,0,0,93,395
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,19-May-17,TRUE,0,0,0,0,0,78,374
Sunshine Coast,"Conondale, Herron Rd",-26.727645,152.719883,19-May-17,TRUE,0,0,0,0,0,194,317
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,20-May-17,TRUE,0,0,0,0,0,182,347
Sunshine Coast,"Palmwoods, Jubilee Drive",-26.6825,152.9618,22-May-17,FALSE,250,4750,0,0,5000,243,
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,22-May-17,TRUE,0,0,0,0,0,86,390
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,22-May-17,TRUE,0,0,0,0,0,156,460
Moreton Bay,"Caboolture, Wararba Creek",-27.081615,152.926761,23-May-17,FALSE,150,2850,0,0,3000,164,186
Whitsunday,Cannonvale,-20.27926,148.67972,16-May-17,TRUE,0,0,0,0,0,287,304
Whitsunday,Eden Lassie Creek,-20.17167,148.40833,15-May-17,TRUE,0,0,0,0,0,310,335
Mackay,Eimeo Mangroves,-21.0394,149.175,24-May-17,TRUE,0,0,0,0,0,306,336
Whitsunday,Kelsey Creek,-20.42157,148.47808,16-May-17,TRUE,0,0,0,0,0,323,366
Mackay,"Mackay, Showgrounds",-21.143316,149.172132,23-May-17,TRUE,0,0,0,0,0,352,
Whitsunday,Myrtle Creek,-20.376,148.594,16-May-17,TRUE,0,0,0,0,0,325,404
Whitsunday,Palm Creek,-20.3805,148.63652,16-May-17,TRUE,0,0,0,0,0,327,416
Whitsunday,"Proserpine, Faust Street",-20.401,148.5753,16-May-17,TRUE,0,0,0,0,0,312,425
Whitsunday,Proserpine River,-20.45575,148.69517,24-May-17,TRUE,0,0,0,0,0,328,426
Mackay,Seaforth,-20.9056,148.9736,16-May-17,TRUE,0,0,0,0,0,334,
Whitsunday,Jubilee Pocket,-20.27811,148.72975,16-May-17,TRUE,0,0,0,0,0,322,316
Isaac,"Clermont, Capella Street",-22.818229,147.64139,19-May-17,TRUE,0,0,0,0,0,336,314
Isaac,Dysart,-22.585,148.349,19-May-17,TRUE,0,0,0,0,0,260,331
Isaac,Middlemount,-22.8124,148.7016,19-May-17,TRUE,0,0,0,0,0,261,393
Isaac,"Nebo, Nebo Creek",-21.688163,148.686713,19-May-17,TRUE,0,0,0,0,0,296,
Bundaberg,"Avoca, McCoys Creek",-24.88741,152.22936,19-May-17,TRUE,0,0,0,0,0,238,712
Bundaberg,"Bargara, Fairway Drive",-24.823661,152.462227,19-May-17,TRUE,0,0,0,0,0,246,746
Bundaberg,"Bargara, Larder Street",-24.83164,152.46889,19-May-17,TRUE,0,0,0,0,0,7,279
Bundaberg,"North Bundaberg, Botanic Gardens, Young St",-24.851596,152.337234,19-May-17,TRUE,0,0,0,0,0,221,585
Bundaberg,"Bundaberg, Baldwin Swamp Environment Park",-24.86732,152.370743,19-May-17,FALSE,4600,0,0,0,4600,265,772
Bundaberg,"Gaeta Road, Gaeta",-24.903869,151.592981,19-May-17,TRUE,0,0,0,0,0,355,
Bundaberg,"Horton, Station Road",-25.226732,152.307816,19-May-17,TRUE,0,0,0,0,0,67,359
Bundaberg,Isis Golf Club,-25.229605,152.3017527,19-May-17,TRUE,0,0,0,0,0,363,
Bundaberg,Moore Park Beach,-24.71827,152.280459,19-May-17,TRUE,0,0,0,0,0,297,773
