Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,16-Feb-18,FALSE,500,0,0,0,500,2,271
Southern Downs,"Warwick, Grafton Street",-28.211456,152.026038,16-Feb-18,TRUE,0,0,0,0,0,226,775
Whitsunday,Hamilton Island,-20.3449,148.95179,15-Feb-18,FALSE,540,0,0,0,540,266,353
Gladstone,Calliope,-24.00123,151.19309,19-Feb-18,FALSE,200,0,0,0,200,262,
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,16-Feb-18,FALSE,440,0,0,0,440,182,347
Brisbane,Sunnybank (Les Atkinson Park),-27.582594,153.052372,16-Feb-18,FALSE,350,50,10,0,410,146,452
Brisbane,Mount Ommaney - Westlake Drive,-27.5444,152.9255,16-Feb-18,FALSE,3155,200,0,0,3355,95,400
Brisbane,"Herston, Enoggera Creek",-27.442402,153.022578,16-Feb-18,FALSE,1470,3430,0,0,4900,46,339
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,21-Feb-18,FALSE,660,140,0,0,800,53,349
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,16-Feb-18,FALSE,65,1235,0,0,1300,34,324
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,21-Feb-18,FALSE,1000,4000,0,0,5000,55,350
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,19-Feb-18,FALSE,2647,23826,0,0,26473,70,164
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,16-Feb-18,FALSE,18000,2000,0,0,20000,59,161
Sunshine Coast,"Mooloolaba, Goonawarra Drive",-26.682433,153.107033,17-Feb-18,FALSE,400,300,0,0,700,93,395
Somerset,"Kilcoy, Kilcoy Creek (Anzac Park)",-26.941497,152.568748,16-Feb-18,TRUE,0,0,0,0,0,200,368
Sunshine Coast,"Landsborough, Vidler Crt",-26.799717,152.965367,16-Feb-18,FALSE,585,3315,0,0,3900,78,374
Sunshine Coast,"Conondale, Herron Rd",-26.727645,152.719883,16-Feb-18,TRUE,0,0,0,0,0,194,317
Sunshine Coast,"Palmwoods, Jubilee Drive",-26.6825,152.9618,16-Feb-18,FALSE,300,2700,0,0,3000,243,
Sunshine Coast,"Palmwoods, Dunning Street",-26.690983,152.953975,16-Feb-18,TRUE,0,0,0,0,0,205,418
Sunshine Coast,"Maroochydore, Stella Maris CS",-26.65077,153.07115,16-Feb-18,FALSE,1600,400,0,0,2000,86,390
Sunshine Coast,"Moffat Beach, Tooway Creek",-26.788058,153.136706,16-Feb-18,FALSE,300,0,0,0,300,156,460
Noosa,Weyba Creek,-26.407034,153.076583,18-Feb-18,TRUE,0,0,0,0,0,168,187
Moreton Bay,Woodford,-26.95031,152.7763,16-Feb-18,FALSE,8000,6000,200,0,14200,173,192
Banana,Moura,-24.573906,149.968068,16-Feb-18,TRUE,0,0,0,0,0,253,
Banana,Wowan,-23.910522,150.192726,16-Feb-18,TRUE,0,0,0,0,0,254,
Ipswich,Yamanto,-27.651449,152.755601,16-Feb-18,FALSE,1000,0,0,0,1000,177,479
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,16-Feb-18,FALSE,300,300,400,0,1000,196,574
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,16-Feb-18,FALSE,1000,0,0,0,1000,20,140
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,16-Feb-18,TRUE,0,0,0,0,0,359,
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,16-Feb-18,TRUE,0,0,0,0,0,267,
