Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Fraser Coast,"Dundowran, O'Reagans Creek CP",-25.2682,152.7272,17-May-19,TRUE,0,0,0,0,0,41,330
Fraser Coast,"Dundowran Beach, Ocean Park Drive, Petersons Park",-25.270079,152.745372,17-May-19,TRUE,0,0,0,0,0,249,760
Fraser Coast,"Maryborough, Saltwater Creek",-25.4734,152.7224,17-May-19,TRUE,0,0,0,0,0,90,392
Fraser Coast,"Toogoom, Shellcot Street",-25.255865,152.69216,17-May-19,TRUE,0,0,0,0,0,271,
Fraser Coast,"Maryborough, Tinana Island,",-25.56086,152.71216,16-May-19,TRUE,0,0,0,0,0,91,534
Fraser Coast,"Hervey Bay, Tooan Tooan",-25.2818,152.8472,17-May-19,TRUE,0,0,0,0,0,65,538
Fraser Coast,"Woocoo NP, Aramara",-25.63721563,152.3299461,16-May-19,TRUE,0,0,0,0,0,171,190
Fraser Coast,"Anembo Lakes, Torquay",-25.287433,152.883351,17-May-19,TRUE,0,0,0,0,0,364,
North Burnett,"Gayndah, Barambah Ck",-25.5859,151.6622,16-May-19,TRUE,0,0,0,0,0,50,549
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,17-May-19,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,17-May-19,FALSE,38000,2000,0,0,40000,63,580
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,17-May-19,TRUE,0,0,0,0,0,18,299
North Burnett,Coalstoun Lakes Recreation Reserve,-25.6147,151.8965,16-May-19,FALSE,40000,1000,0,0,41000,29,315
Fraser Coast,Craignish Heights,-25.2875,152.7471,17-May-19,TRUE,0,0,0,0,0,347,
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,17-May-19,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,16-May-19,TRUE,0,0,0,0,0,155,459
North Burnett,Gayndah Township,-25.6239,151.6109,16-May-19,TRUE,0,0,0,0,0,51,348
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,16-May-19,FALSE,4000,145,0,0,4145,88,535
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,16-May-19,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,16-May-19,TRUE,0,0,0,0,0,209,539
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,16-May-19,TRUE,0,0,0,0,0,87,533
Rockhampton,Duaringa,-23.7209,149.6709,15-May-19,FALSE,0,0,35000,0,35000,301,
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,15-May-19,FALSE,0,0,0,0,0,371,
Rockhampton,Keppel Sands,-23.33265,150.7916,17-May-19,FALSE,6000,0,0,0,6000,292,367
Rockhampton,"Yeppoon, Ross Creek",-23.135065,150.746748,17-May-19,FALSE,7500,0,0,0,7500,276,438
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,17-May-19,FALSE,200,11000,0,0,11200,196,574
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,17-May-19,FALSE,500,0,0,0,500,359,
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,17-May-19,TRUE,0,0,0,0,0,20,140
Ipswich,"Walloon, Poplar Street Reserve",-27.6033,152.6728,17-May-19,FALSE,50,0,0,0,50,267,
Ipswich,"Ipswich Nature Centre, Queens Park, Goleby Ave",-27.619142,152.767861,17-May-19,TRUE,0,0,0,0,0,215,595
Ipswich,Woodend,-27.6031,152.7485,17-May-19,TRUE,0,0,0,0,0,172,191
Ipswich,Yamanto,-27.651449,152.755601,17-May-19,TRUE,0,0,0,0,0,177,479
Whitsunday,Hamilton Island,-20.3449,148.95179,17-May-19,FALSE,1100,0,0,0,1100,266,353
Whitsunday,Hamilton Island,-20.3449,148.95179,17-May-19,FALSE,1280,0,0,0,1280,266,353
Brisbane,"Coopers Plains, Beryl Roberts Park, Barham St",-27.567531,153.043448,18-May-19,TRUE,0,0,0,0,0,247,745
Brisbane,"Windsor, Enoggera Creek",-27.437646,153.037633,18-May-19,TRUE,0,0,0,0,0,199,644
Brisbane,"Herston, Enoggera Creek",-27.442402,153.022578,25-May-19,FALSE,397,3580,0,0,3977,46,339
Redland,"North Stradbroke Island, Dunwich (Mitchell Cres.)",-27.4965,153.4064,18-May-19,FALSE,1100,750,0,0,1850,108,153
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,17-May-19,FALSE,1500,1000,0,0,2500,76,372
Lockyer Valley,Murphys Creek,-27.455941,152.049271,17-May-19,TRUE,0,0,0,0,0,358,
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,17-May-19,TRUE,0,0,0,0,0,182,347
Lockyer Valley,"Helidon, Gunn Street",-27.548306,152.122694,17-May-19,TRUE,0,0,0,0,0,212,570
Southern Downs,"Warwick, Grafton Street",-28.211456,152.026038,17-May-19,TRUE,0,0,0,0,0,226,775
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,17-May-19,FALSE,500,0,0,0,500,2,271
Redland,"North Stradbroke Island, Point Lookout",-27.427014,153.527627,17-May-19,FALSE,350,0,0,0,350,109,412
Banana,Biloela,-24.407953,150.513406,16-May-19,TRUE,0,0,0,0,0,370,
Banana,Callide Creek,-24.364233,150.60835,16-May-19,TRUE,0,0,0,0,0,227,301
Rockhampton,Kabra,-23.471698,150.396872,16-May-19,TRUE,0,0,0,0,0,256,362
Banana,Moura,-24.573906,149.968068,16-May-19,FALSE,0,0,500,0,500,253,
Banana,Theodore,-24.950733,150.076493,16-May-19,TRUE,0,0,0,0,0,258,
