Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Noosa,"Noosaville, Wallace Drive",-26.400669,153.049086,14-Feb-19,FALSE,500,2000,22500,0,25000,245,781
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,14-Feb-19,FALSE,200,1800,0,0,2000,34,324
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,15-Feb-19,FALSE,360,240,0,0,600,53,349
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,15-Feb-19,FALSE,3000,12000,0,0,15000,55,350
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,15-Feb-19,FALSE,27390,27390,28220,0,83000,70,164
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,15-Feb-19,FALSE,7500,6000,1500,0,15000,59,161
Banana,"Westwood, Capricornia Highway",-23.62135,150.15571,14-Feb-19,FALSE,800,0,0,0,800,255,754
Banana,Wowan,-23.910522,150.192726,14-Feb-19,FALSE,0,0,600,0,600,254,
Rockhampton,Kabra,-23.471698,150.396872,14-Feb-19,FALSE,500,0,2000,0,2500,256,362
Somerset,Atkinsons Dam,-27.42135,152.456091,17-Feb-19,FALSE,0,0,70000,0,70000,373,
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,4-Jan-19,FALSE,0,0,2500,0,2500,371,
Redland,"Cleveland, Black Swamp",-27.5275,153.25804,15-Feb-19,TRUE,0,0,0,0,0,28,143
Brisbane,"Hemmant, Lytton Road",-27.444,153.1136,15-Feb-19,TRUE,0,0,0,0,0,62,355
Brisbane,"Birkdale, Collingwood Rd",-27.495883,153.213807,15-Feb-19,FALSE,180,120,0,0,300,340,
Scenic Rim,"Canungra, Beachmont Rd",-28.0398,153.1824,15-Feb-19,FALSE,200,7500,0,0,7700,21,141
Gold Coast,Canungra Creek Park,-28.016577,153.160156,15-Feb-19,FALSE,900,3600,0,0,4500,350,
Scenic Rim,Tamborine NP (Joalah Sec),-27.9237,153.1935,15-Feb-19,FALSE,0,1100,0,0,1100,150,455
Logan,"Cedar Vale, Banksia Court",-27.874637,153.012546,15-Feb-19,TRUE,0,0,0,0,0,201,310
Logan,"Cedar Grove, Brushwood Cres.",-27.8558,152.98,15-Feb-19,FALSE,3400,0,0,0,3400,23,148
Logan,"Undulluh, Homestead Drive (Flagstone)",-27.814703,152.963108,15-Feb-19,TRUE,0,0,0,0,0,186,464
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,15-Feb-19,FALSE,350,0,0,0,350,359,
Brisbane,"Ellen Grove, Waterford Rd",-27.614246,152.947948,15-Feb-19,TRUE,0,0,0,0,0,45,337
