Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Southern Downs,"Warwick, Grafton Street",-28.211456,152.026038,16-Aug-19,TRUE,0,0,0,0,0,226,775
Gold Coast,Currumbin Creek,-28.14534,153.46721,16-Aug-19,FALSE,1500,2250,0,0,3750,36,325
Gold Coast,"Surfers Paradise, Girung Island",-28.009264,153.419293,15-Aug-19,FALSE,10,0,0,0,10,203,541
Gold Coast,"Labrador, Government Rd",-27.94808,153.397261,16-Aug-19,FALSE,15,0,0,0,15,195,544
Gold Coast,"Helensvale, Lillypilly Court",-27.894778,153.318344,19-Aug-19,FALSE,130,0,0,0,130,231,714
Gold Coast,"Jacobs Well, Kumgum Street",-27.78528,153.365434,13-Aug-19,FALSE,120,80,0,0,200,232,715
Gold Coast,Keebra Park State High School,-27.98425,153.402397,19-Aug-19,FALSE,550,200,0,0,750,353,
Gold Coast,"Labrador, Norm Rix Park",-27.942313,153.397876,13-Aug-19,FALSE,135,0,0,0,135,348,
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,13-Aug-19,FALSE,60,0,0,0,60,141,445
Gold Coast,"Pimpama, Mirambeena Drive",-27.800115,153.273429,13-Aug-19,TRUE,0,0,0,0,0,314,
Gold Coast,"Mudgeeraba, Burke Crescent",-28.085637,153.345868,16-Aug-19,TRUE,0,0,0,0,0,97,402
Gold Coast,"Mudgeeraba, Hardys Road/Appaloosa Crt",-28.1048,153.363,16-Aug-19,TRUE,0,0,0,0,0,98,216
Gold Coast,"Nerang, Gilston Road",-28.002991,153.324217,16-Aug-19,FALSE,680,500,0,0,1180,104,406
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,15-Aug-19,FALSE,60,0,0,0,60,300,808
Gold Coast,"Palm Beach, M1",-28.120363,153.460078,15-Aug-19,FALSE,450,200,0,0,650,111,415
Gold Coast,"Robina, Kiralee Dr",-28.062892,153.411992,15-Aug-19,FALSE,500,175,0,0,675,130,436
Gold Coast,"Surfers Paradise, Macintosh Island",-27.984243,153.427208,15-Aug-19,FALSE,150,0,0,0,150,187,453
Southern Downs,Allora (Dalrymple Creek),-28.028018,151.983746,16-Aug-19,FALSE,1500,0,0,0,1500,2,271
Lockyer Valley,"Laidley, Laidley Plainlands Road",-27.620558,152.394769,16-Aug-19,FALSE,0,1600,0,0,1600,76,372
Lockyer Valley,"Gatton, Amaroo Retirement Village, Tenthill Creek",-27.564791,152.272578,16-Aug-19,TRUE,0,0,0,0,0,182,347
Lockyer Valley,"Helidon, Gunn Street",-27.548306,152.122694,16-Aug-19,TRUE,0,0,0,0,0,212,570
Lockyer Valley,Murphys Creek,-27.455941,152.049271,16-Aug-19,TRUE,0,0,0,0,0,358,
Somerset,Atkinsons Dam,-27.42135,152.456091,16-Aug-19,FALSE,1000,29000,0,0,30000,373,
Somerset,Lowood Bend (Camp 1) Brisbane River,-27.4688,152.5886,16-Aug-19,FALSE,2000,6000,0,0,8000,83,383
Redland,"Alexandra Hills, Lawn Terrace",-27.51649,153.20968,15-Aug-19,FALSE,344,278,0,0,622,1,270
Brisbane,"Ashgrove, Banks Street Reserve",-27.435369,152.996928,16-Aug-19,FALSE,200,10,0,0,210,388,
Redland,"Cleveland, Black Swamp",-27.5275,153.25804,15-Aug-19,FALSE,0,360,0,0,360,28,143
Brisbane,"Northgate, Carter Street",-27.388437,153.07509,16-Aug-19,TRUE,0,0,0,0,0,341,
Logan,"Cedar Grove, Brushwood Cres.",-27.8558,152.98,16-Aug-19,FALSE,370,4500,0,0,4870,23,148
Logan,"Cedar Vale, Banksia Court",-27.874637,153.012546,16-Aug-19,TRUE,0,0,0,0,0,201,310
Brisbane,"Chermside West, Downfall Creek",-27.388688,153.007091,16-Aug-19,FALSE,500,600,0,0,1100,237,711
Somerset,Esk,-27.2349,152.4233,15-Aug-19,FALSE,2000,6000,0,0,8000,47,156
Logan,"Undulluh, Homestead Drive (Flagstone)",-27.814703,152.963108,16-Aug-19,TRUE,0,0,0,0,0,186,464
Gold Coast,"Surfers Paradise, Remembrance Drive",-28.007941,153.427063,15-Aug-19,TRUE,0,0,0,0,0,217,590
Gold Coast,"Mudgeeraba, Tallai/Mudgeeraba Road",-28.069601,153.354624,16-Aug-19,FALSE,30,20,0,0,50,223,591
Gold Coast,"Upper Coomera, Heathwood Drive",-27.870743,153.311378,13-Aug-19,TRUE,0,0,0,0,0,230,593
Fraser Coast,"Anembo Lakes, Torquay",-25.287433,152.883351,16-Aug-19,TRUE,0,0,0,0,0,364,901
North Burnett,"Gayndah, Barambah Ck",-25.5859,151.6622,15-Aug-19,TRUE,0,0,0,0,0,50,549
Fraser Coast,"Sunshine Acres, Black Swamp Creek",-25.3749,152.7692,16-Aug-19,TRUE,0,0,0,0,0,147,537
Fraser Coast,"Hervey Bay, Botanic Gardens",-25.288845,152.892866,16-Aug-19,TRUE,0,0,0,0,0,63,580
Fraser Coast,"Burrum River (upper), Junction Cherwell River",-25.327328,152.5784,16-Aug-19,TRUE,0,0,0,0,0,18,299
Fraser Coast,Craignish Heights,-25.2875,152.7471,16-Aug-19,TRUE,0,0,0,0,0,347,845
Fraser Coast,"Dundowran, Jimilee Street",-25.274922,152.750073,16-Aug-19,TRUE,0,0,0,0,0,210,589
Fraser Coast,"Tinana, Franklins Close",-25.5404,152.6789,15-Aug-19,TRUE,0,0,0,0,0,155,459
North Burnett,Gayndah Township,-25.6239,151.6109,15-Aug-19,TRUE,0,0,0,0,0,51,348
Fraser Coast,"Maryborough, Kent Street",-25.5436,152.7131,15-Aug-19,FALSE,7000,33000,0,0,40000,88,535
Fraser Coast,"Maryborough, Little Tinana Ck",-25.556,152.7137,15-Aug-19,TRUE,0,0,0,0,0,89,391
Fraser Coast,"Maaroom, Esplanade",-25.613321,152.874238,15-Aug-19,TRUE,0,0,0,0,0,209,539
Fraser Coast,"Maryborough, Albion Rd Wetlands (Island Plantation",-25.5097,152.7185,15-Aug-19,TRUE,0,0,0,0,0,87,533
