Name of local government,Name of camp,Latitude,Longitude,Date of survey,Flying-fox absent (true/false),Total number of black flying-fox,Total number of Grey-headed flying-fox,Total number of Little red flying-fox,Total number of Spectacled flying-fox,Total number of all species,EHP camp identification,CSIRO camp identification
Central Highlands Regional,Emerald Botanic Gardens Rainforest,-23.53685,148.16648,3-Oct-19,FALSE,0,0,1500,0,1500,371,
Gold Coast,"Jacobs Well, Kumgum Street",-27.78528,153.365434,15-Nov-19,FALSE,220,50,0,0,270,232,715
Gold Coast,"Pimpama, Mirambeena Drive",-27.800115,153.273429,15-Nov-19,FALSE,200,350,0,0,550,314,
Logan,Mount Warren Park - Yvonne Cr.,-27.736966,153.198338,15-Nov-19,TRUE,0,0,0,0,0,96,401
Logan,"Beenleigh, Logan St",-27.708984,153.196341,15-Nov-19,FALSE,1060,360,0,0,1420,204,281
Logan,"Loganholme, Alexander Clark Park",-27.70147,153.18762,15-Nov-19,TRUE,0,0,0,0,0,80,138
Logan,"Loganholme, Timor Avenue",-27.667,153.1773,15-Nov-19,FALSE,405,525,0,0,930,184,377
Moreton Bay,Redcliffe Botanic Gardens,-27.23145,153.098752,15-Nov-19,FALSE,1300,3,0,0,1303,122,429
Brisbane,"Sandgate, Curlew Park",-27.3231,153.0687,15-Nov-19,TRUE,0,0,0,0,0,134,151
Moreton Bay,"Scarborough, Sunnyside Rd",-27.202885,153.102829,15-Nov-19,FALSE,100,0,0,0,100,137,582
Brisbane,Northgate reserve,-27.398694,153.072987,15-Nov-19,FALSE,1000,0,0,0,1000,188,575
Brisbane,"Chermside West, Downfall Creek",-27.388688,153.007091,15-Nov-19,FALSE,500,500,0,0,1000,237,711
Brisbane,Deagon,-27.33338056,153.0535639,15-Nov-19,FALSE,200,1,0,0,201,335,
Brisbane,"Northgate, Carter Street",-27.388437,153.07509,15-Nov-19,TRUE,0,0,0,0,0,341,
Redland,"North Stradbroke Island, Dunwich (Mitchell Cres.)",-27.4965,153.4064,16-Nov-19,FALSE,1200,200,0,0,1400,108,153
Brisbane,"Herston, Enoggera Creek",-27.442402,153.022578,16-Nov-19,FALSE,400,2445,0,0,2845,46,339
Brisbane,"Windsor, Enoggera Creek",-27.437646,153.037633,16-Nov-19,TRUE,0,0,0,0,0,199,644
Brisbane,"Ashgrove, Banks Street Reserve",-27.435369,152.996928,16-Nov-19,FALSE,45,180,0,0,225,388,
Gold Coast,"Upper Coomera, Heathwood Drive",-27.870743,153.311378,13-Nov-19,FALSE,69,1,0,0,70,230,593
Gold Coast,"Helensvale, Lillypilly Court",-27.894778,153.318344,13-Nov-19,FALSE,39,0,0,0,39,231,714
Gold Coast,"Helensvale, Mildura Drive",-27.9012,153.3343,14-Nov-19,TRUE,0,0,0,0,0,61,170
Gold Coast,"Chiba Reserve, Burrendong Rd, Coombabah",-27.893616,153.384217,14-Nov-19,FALSE,134,5,0,0,139,365,900
Gold Coast,"Runaway Bay, Godlonton Reserve",-27.922301,153.398041,14-Nov-19,FALSE,148,0,0,0,148,218,592
Gold Coast,"Labrador, Norm Rix Park",-27.942313,153.397876,14-Nov-19,FALSE,99,1,0,0,100,348,
Gold Coast,"Southport, Loders Creek",-27.9581,153.4033,14-Nov-19,TRUE,0,0,0,0,0,141,445
Gold Coast,Keebra Park State High School,-27.98425,153.402397,14-Nov-19,TRUE,0,0,0,0,0,353,
Logan,"Cedar Grove, Brushwood Cres.",-27.8558,152.98,15-Nov-19,FALSE,420,420,0,0,840,23,148
Gold Coast,"Nerang, Gilston Road",-28.002991,153.324217,15-Nov-19,FALSE,1000,8000,0,0,9000,104,406
Scenic Rim,"Canungra, Beachmont Rd",-28.0398,153.1824,15-Nov-19,FALSE,150,350,0,0,500,21,141
Gold Coast,"Carrara, Gooding Drive",-28.03315,153.391551,14-Nov-19,FALSE,270,50,0,0,320,190,307
Gold Coast,"Mudgeeraba, Burke Crescent",-28.085637,153.345868,15-Nov-19,FALSE,450,2500,0,0,2950,97,402
Gold Coast,"Burleigh Lake Park, Dunlin Drive",-28.092131,153.438742,14-Nov-19,FALSE,50,0,0,0,50,393,
Gold Coast,"Burleigh Knoll, Burleigh Street, Burleigh Waters",-28.081933,153.439014,14-Nov-19,FALSE,300,50,0,0,350,234,713
Gold Coast,Canungra Creek Park,-28.016577,153.160156,15-Nov-19,FALSE,600,1500,0,0,2100,350,803
Gold Coast,"Broadbeach, Cascade Gardens",-28.0222,153.4277,14-Nov-19,FALSE,352,88,0,0,440,12,147
Gold Coast,"Miami, Chairlift Avenue",-28.060371,153.439361,14-Nov-19,FALSE,80,20,0,0,100,300,808
Gold Coast,Currumbin Creek,-28.14534,153.46721,15-Nov-19,FALSE,4400,600,0,0,5000,36,325
Gold Coast,"Carrara, Edelsten Court",-28.017876,153.36239,14-Nov-19,FALSE,130,115,0,0,245,185,306
Gold Coast,"Surfers Paradise, Girung Island",-28.009264,153.419293,14-Nov-19,FALSE,50,0,0,0,50,203,541
Gold Coast,"Robina, Palmer Gold Coast Golf Course",-28.073239,153.400072,14-Nov-19,FALSE,550,50,0,0,600,302,
Gold Coast,"Surfers Paradise, Remembrance Drive",-28.007941,153.427063,14-Nov-19,FALSE,10,0,0,0,10,217,590
Gold Coast,"Palm Beach, M1",-28.120363,153.460078,14-Nov-19,FALSE,350,150,0,0,500,111,415
Gold Coast,"Surfers Paradise, Macintosh Island",-27.984243,153.427208,14-Nov-19,FALSE,150,0,0,0,150,187,453
Gold Coast,"Burleigh, Marymount College",-28.0946,153.4292,14-Nov-19,TRUE,0,0,0,0,0,15,296
Gold Coast,"Mudgeeraba, Tallai/Mudgeeraba Road",-28.069601,153.354624,15-Nov-19,FALSE,20,40,0,0,60,223,591
Sunshine Coast,Cooran - Yellow Belly Reserve,-26.3375,152.8264,20-Nov-19,FALSE,120,0,0,0,120,34,324
Fraser Coast,Glenwood Varley Road,-25.9274,152.6259,15-Nov-19,FALSE,198,2,0,0,200,53,349
Gympie,"Goomboorian, Anderleigh Rd Ginger Creek",-26.04852,152.77799,15-Nov-19,FALSE,100,15,0,0,115,55,350
Gympie,"Kandanga, Hyne Estate Rd",-26.4048,152.7044,15-Nov-19,FALSE,834,92,0,0,926,70,164
Gympie,"Gympie Township, Widgee Crossing",-26.1822,152.6384,15-Nov-19,TRUE,0,0,0,0,0,59,161
Ipswich,"Bundamba, Paice St",-27.612423,152.81273,15-Nov-19,FALSE,1400,600,0,0,2000,196,574
Ipswich,"Camira, Pilney Reserve (Barbara Street)",-27.6315,152.9206,15-Nov-19,FALSE,500,100,0,0,600,20,140
Ipswich,"Redbank Plains, Phillip Street",-27.65083,152.856686,15-Nov-19,FALSE,200,0,0,0,200,359,
